Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification,group
1,Brazil (H),3,2,1,0,7,2,+5,7,Advance to knockout stage,A
2,Mexico,3,2,1,0,4,1,+3,7,Advance to knockout stage,A
3,Croatia,3,1,0,2,6,6,0,3,,A
4,Cameroon,3,0,0,3,1,9,−8,0,,A
1,Netherlands,3,3,0,0,10,3,+7,9,Advance to knockout stage,B
2,Chile,3,2,0,1,5,3,+2,6,Advance to knockout stage,B
3,Spain,3,1,0,2,4,7,−3,3,,B
4,Australia,3,0,0,3,3,9,−6,0,,B
1,Colombia,3,3,0,0,9,2,+7,9,Advance to knockout stage,C
2,Greece,3,1,1,1,2,4,−2,4,Advance to knockout stage,C
3,Ivory Coast,3,1,0,2,4,5,−1,3,,C
4,Japan,3,0,1,2,2,6,−4,1,,C
1,Costa Rica,3,2,1,0,4,1,+3,7,Advance to knockout stage,D
2,Uruguay,3,2,0,1,4,4,0,6,Advance to knockout stage,D
3,Italy,3,1,0,2,2,3,−1,3,,D
4,England,3,0,1,2,2,4,−2,1,,D
1,France,3,2,1,0,8,2,+6,7,Advance to knockout stage,E
2,Switzerland,3,2,0,1,7,6,+1,6,Advance to knockout stage,E
3,Ecuador,3,1,1,1,3,3,0,4,,E
4,Honduras,3,0,0,3,1,8,−7,0,,E
1,Argentina,3,3,0,0,6,3,+3,9,Advance to knockout stage,F
2,Nigeria,3,1,1,1,3,3,0,4,Advance to knockout stage,F
3,Bosnia and Herzegovina,3,1,0,2,4,4,0,3,,F
4,Iran,3,0,1,2,1,4,−3,1,,F
1,Germany,3,2,1,0,7,2,+5,7,Advance to knockout stage,G
2,United States,3,1,1,1,4,4,0,4,Advance to knockout stage,G
3,Portugal,3,1,1,1,4,7,−3,4,,G
4,Ghana,3,0,1,2,4,6,−2,1,,G
1,Belgium,3,3,0,0,4,1,+3,9,Advance to knockout stage,H
2,Algeria,3,1,1,1,6,5,+1,4,Advance to knockout stage,H
3,Russia,3,0,2,1,2,3,−1,2,,H
4,South Korea,3,0,1,2,3,6,−3,1,,H
